"HYBAS_ID","SUB_AREA","GIS_AREA","protectsu"
6050000010,72363.7,6713.10819493778,0.0927690015150936
6050000740,17944.3,2059.94539149762,0.114796642471293
6050000750,53087,53087,1
6050001940,27553.5,27553.5,1
6050001950,52530.4,52530.4,1
6050003210,17722,17722,1
6050003220,19353.5,19353.5,1
6050003680,22318.1,10514.6725081943,0.471127582912267
6050003690,32719.1,32410.3679847333,0.990564165418161
6050004060,21624.8,21624.8,1
6050004070,18935.5,14464.3475056922,0.763874600918495
6050004470,15679.2,15679.2,1
6050004480,38300.7,38300.7,1
6050005180,64285.5,6205.26119411333,0.0965266069971196
6050005190,70315.5,2126.17167576159,0.0302375959178501
6050005490,66409.3,19822.8047418791,0.298494408793334
6050005500,96410.4,81574.9872808399,0.846122278103192
6050006470,42497.1,42497.1,1
6050006540,37353.9,37353.9,1
6050007000,6440.6,6440.6,1
6050007010,374,374,1
6050007050,7585.9,7585.9,1
6050007060,744.6,744.6,1
6050007090,5465.7,5465.7,1
6050007100,6618.9,6618.9,1
6050007240,6395.2,6395.2,1
6050007250,17624.3,17624.3,1
6050007650,52965.8,42683.877947975,0.805876205928637
6050007660,11060.2,11060.2,1
6050007960,82901.6,44678.4060989789,0.538932977155796
6050008320,18906.2,18906.2,1
6050008620,34830.8,26337.8006233362,0.756164102556823
6050008630,36049.4,36049.4,1
6050009220,40533.4,17282.9067606734,0.426386801025164
6050009230,11.4,11.4,1
6050009250,55843.1,17282.9067606734,0.309490460964262
6050009260,3088.6,3088.6,1
6050009430,52991.6,52991.6,1
6050009440,30706.1,30706.1,1
6050009760,42461.4,42461.4,1
6050009770,12633,12633,1
6050010100,14578.5,334.922988763269,0.0229737619620173
6050010110,32471,900.645384680383,0.0277369155455755
6050010510,73490.9,10115.1695812165,0.137638395790723
6050010520,18573.5,639.806085532338,0.0344472547194841
6050010670,41203.5,2.1138175810877,5.13018937975585e-05
6050010680,30866,2499.35563929357,0.0809743938085133
6050011240,19753.8,319.070175349624,0.0161523441236432
6050011250,43552.8,8011.24235718245,0.183943221955476
6050011780,46326.6,1982.14427675326,0.0427863101706852
6050011790,5872.5,1.4413908355162,0.000245447566711997
6050011890,16213.7,672.802202991867,0.0414959079662179
6050011900,9604.3,4924.30299588478,0.512718573543598
6050012020,36065.2,4930.3193248047,0.136705725319829
6050012030,16991.4,7111.49366408011,0.418534886123575
6050012280,54758.3,3207.12269004911,0.0585687044712694
6050012290,3669.1,1485.79880291617,0.404949116381721
6050012370,7042.2,2319.98729955411,0.329440700286006
6050012380,7427,5465.46850640308,0.735891814515023
6050012580,55394,5667.33527199142,0.102309551070358
6050012590,41325.6,4825.65330962675,0.116771524421345
6050012790,70980.9,5276.53408988683,0.0743373793497523
6050012800,66863.6,9366.02932216114,0.140076653398279
6050013420,82935.9,8828.84442808674,0.106453832756222
6050013430,21133.6,1552.06483677562,0.0734406270950346
6050013750,57233.3,19051.1696632354,0.332868621296263
6050013760,22525.3,12777.4889377175,0.567250555496154
6050014330,94497.1,33833.5622225044,0.358038100878274
6050015560,71807.3,241.832144071868,0.00336779330335311
6050015570,24361.6,228.49582925948,0.00937934410135131
6050015940,56212.3,449.944076394444,0.0080043705095583
6050015950,39407.1,1310.37062777498,0.0332521456228696
6050016720,71073.9,3579.21114526962,0.0503590086553519
6050016760,46433.4,510.308474999762,0.0109901164894184
6050016980,19412.8,3886.16056430268,0.200185473723661
6050017380,86109,3871.70509745243,0.0449628389303375
6050017540,17652.6,7477.50290882043,0.423592156895892
6050017980,11733.6,15.8044376427526,0.0013469385050413
6050018290,43879.3,6523.50840866633,0.148669381887731
6050018850,27381.9,4050.61845743556,0.147930510937355
6050020960,1078.2,84.8588139358939,0.0787041494489834
6050021030,3265.4,8.24673081129099,0.00252548870315765
6050021060,2145.7,102.957252015687,0.0479830600809464
6050021070,3151.6,74.398124225153,0.0236064615513241
6050021180,31903.4,2720.85836352769,0.085284275767714
6050021210,28902.3,3084.71568168963,0.106729072831215
6050024060,29292.3,215.170315280958,0.00734562718806505
6050025420,49783.1,4198.13086495506,0.0843284340459927
6050026140,60207.6,1933.12429769802,0.0321076458403594
6050026760,15445.1,308.966706033217,0.0200041894214487
6050029280,36532.9,6318.88189875998,0.172964147351017
6050029580,13581.6,3667.09319199581,0.270004505507143
6050029610,17093.8,8964.04673608782,0.524403393984241
6050029620,2479,1407.97588133605,0.567961226839875
6050029720,16063.1,4902.59750389803,0.305208677272633
6050029730,177191.9,12537.3780889711,0.0707559323477604
6050032100,17761.9,977.506272332615,0.0550338799527424
6050032110,11236.5,1332.64912184698,0.118600019743423
6050032290,16478.7,851.975206891213,0.0517016030931574
6050032610,32684.5,712.607172186759,0.0218026028296825
6050032620,21050.5,2710.56133488842,0.128764700833159
6050033220,21626,25.3506148072602,0.00117222855855268
6050033230,22671.2,2748.39032915471,0.121228268867758
6050033560,22420.9,823.216765222993,0.036716490650375
6050033570,22325,1901.12579417262,0.0851568104892549
6050034060,15397.6,1761.20409168751,0.114381727781441
6050034070,35190.6,7627.30729932745,0.216742746623458
6050035990,74850.8,1063.70703309861,0.0142110309188226
6050040460,155117.6,3995.64362451141,0.0257588025118453
6050040470,146228.6,1611.37975707946,0.0110195936846791
6050040480,129875.1,18001.4318901572,0.138605721113263
6050040500,25505.9,16158.0715550737,0.633503289633916
6050040520,21476.2,20653.0073550619,0.961669539074042
6050040530,35292.5,1033.83348828758,0.0292932914440059
6050040540,27715.5,15192.6960482318,0.548166046011503
6050040550,21950,2407.30252261579,0.109672096702314
6050040610,23242.7,7776.03956685542,0.334558358833329
6050040670,9365.7,764.363989210894,0.0816131190632728
6050040680,26545.5,16159.7127340973,0.608755259237809
6050040710,87433.4,20502.6742872181,0.234494761581021
6050040750,18125.8,1883.81027075226,0.10392977252051
6050040900,27544.1,54.6195617321655,0.00198298589288325
6050040920,4501.3,4501.3,1
6050041010,3024.2,3024.2,1
6050041070,23585.6,152.479309695916,0.00646493240349688
6050041130,3799.6,3799.6,1
6050041200,12058.3,96.7723937575204,0.00802537619378523
6050041310,3491.6,3491.6,1
6050068100,17105.5,1739.52971399169,0.101694175206319
6050069430,22211.6,22211.6,1
6050069460,25043,1961.82525309207,0.0783382683022028
6050070260,61901.9,8987.03936384424,0.145181963135933
6050070270,1690.4,1397.26766056362,0.826589955373651
6050075390,14241.1,14241.1,1
6050075410,92047.1,69107.00138581,0.750778692493408
6050079250,7511.9,7511.9,1
6050079280,27441.9,22685.5359099239,0.826675117609344
6050079310,11058,11058,1
6050079390,15091.1,15091.1,1
6050079860,49730.4,46784.7531357242,0.940767682056131
6050080920,19463.5,19463.5,1
6050081020,1329.8,1329.8,1
6050083060,14044.6,4011.07124610316,0.28559526409461
6050083130,13619,8364.06732424652,0.614146950895551
6050084130,17320.6,6129.55826640414,0.353888333337421
6050084190,24419,987.183540491,0.0404268618899627
6050084230,47861.3,47861.3,1
6050084380,13613.3,7714.92208445251,0.566719464380607
6050084750,3180.5,3180.5,1
6050084790,87129.7,35287.8698672275,0.405003917920382
6050089660,22559,6997.21003840023,0.31017376826988
6050089740,91668.8,11895.3159773712,0.129764063425846
6050099010,85209,46944.8633479811,0.550937851024905
6050102250,8479.9,8479.9,1
6050102330,99834.5,22644.3768136181,0.226819153835779
6050104180,21147.7,3524.95183594443,0.166682515637371
6050104230,32711.7,1398.1424039219,0.0427413556593482
6050113570,6842,610.2034779539,0.0891849573156825
6050121450,6762.2,3714.97466250489,0.549373674618451
6050121460,2829.2,2829.2,1
6050126730,5201.7,201.075359247382,0.0386557008761332
6050129600,7737,260.91299702723,0.0337227603757568
6050129810,10052.1,54.1796232682556,0.00538988104657292
6050130490,8799.7,1273.54856929539,0.144726362182278
6050130600,14630.1,346.989849000098,0.0237175309123039
6050134450,11.5,11.5,1
6050134460,2264.6,2264.6,1
6050134940,23684.5,6098.92476643095,0.257507009496968
6050134950,22678.7,6205.26119411333,0.273616265223021
6050136450,40859.4,40859.4,1
6050136480,10747.4,10747.4,1
6050137380,53814.6,285.509358360427,0.00530542563468701
6050143540,26636.9,282.088632438737,0.0105901449657707
6050150580,6205.4,6205.4,1
6050150590,4054.6,4054.6,1
6050154590,9985.6,9985.6,1
6050154700,150.3,150.3,1
6050156750,9409.5,9409.5,1
6050156880,17297.4,17297.4,1
6050160730,11638.3,1.59487632479498,0.000137036880368695
6050160900,24345.7,283.337451482501,0.0116380901548323
6050207660,64371.9,64371.9,1
6050207670,127417.4,104033.82809613,0.816480544228106
6050224360,136301.8,136301.8,1
6050224470,39769.3,39769.3,1
6050237120,190789.9,190789.9,1
6050237360,35819,35819,1
6050238630,59470.7,59470.7,1
6050238750,2387.9,2387.9,1
6050239820,67377.7,19665.3583979962,0.291867463537582
6050241250,39822.3,36100.558657161,0.906541276047867
6050241280,37364.2,37364.2,1
6050247260,28476.9,28476.9,1
6050247270,39823.5,39823.5,1
6050250180,156958.6,50209.8809458296,0.319892512712458
6050250260,4717.5,2064.50859918806,0.437627683982631
6050261280,2613.5,574.180325357158,0.219697847850453
6050261380,31253.4,5250.56245735214,0.167999720265704
6050262220,42675.3,26110.5381278384,0.611841934979681
6050262360,68223.1,14525.434776707,0.212910799666198
6050263530,176.4,1.67344236585452,0.00948663472706644
6050263540,28404.3,28404.3,1
6050266340,4009.4,2015.97942641431,0.502813245476707
6050266470,133363.2,44907.2808387861,0.33672917895481
6050266740,514725.6,95278.0986006292,0.185104643329629
6050266880,189721.5,63975.5876959784,0.337207895235798
6050272340,12881.4,12881.4,1
6050280400,51968.8,51968.8,1
6050280410,22133.1,22133.1,1
6050285990,55327,13706.4805895402,0.24773583584037
6050287820,36309.2,23631.0117439807,0.650827111144853
6050287830,270156.3,188054.558120563,0.696095401515947
6050294270,86295,86295,1
6050294360,378743.9,101331.562513195,0.267546388240696
6050298170,142352.3,42379.6174960106,0.297709397712651
6050298270,48321.9,21224.6246073084,0.439234065864719
6050315910,364869.2,63444.0581838393,0.173881649050781
6050315920,353711.5,56828.0394936815,0.160662120099803
6050325720,59323.4,46122.2122249916,0.777470816321916
6050325820,58770.3,56727.7565587226,0.965245311981097
6050334790,10352.8,0.068504987439818,6.61704924656306e-06
6050337190,78025,38185.0423304526,0.48939496738805
6050337320,147160.2,32975.675529167,0.224080121725623
6050344660,41529.3,7508.64749675322,0.18080361327432
6050345000,32991.5,442.052682988282,0.0133989871023834
6050345180,36174,608.86144820659,0.0168314659204564
6050372340,75429,9725.98290464048,0.128942222548893
6050384320,79227.1,16796.443918445,0.212003770407411
6050401900,51975.8,11886.5574287086,0.228694073563247
6050405310,191776.6,12478.91642779,0.0650700681302618
6050411450,14809.8,14809.8,1
6050425540,93459.2,10141.807461224,0.108515881381652
6050425550,75038.6,11130.4319988924,0.148329419777187
6050441200,13822.6,9756.02825985842,0.705802689787625
6050441330,25776.6,906.414643591782,0.0351642436780561
6050442950,6037.8,6037.8,1
6050443080,6609.5,6609.5,1
6050449170,6214.9,6214.9,1
6050449500,2358.1,2358.1,1
6050450410,17368.5,11335.2451064421,0.652632357799584
6050451380,66112.9,3013.36261300801,0.0455790415033679
6050451390,45771.7,13005.3829580475,0.28413589528131
6050459050,6696.7,6696.7,1
6050466150,21585.6,17413.1215146153,0.806700833639801
6050466270,14495.8,5056.95864405688,0.348856816737047
6050481670,37975.3,23386.2933336571,0.615829060827884
6050481680,17659.9,17531.8125665353,0.992746989877366
6050483010,52499.9,4812.95514032492,0.0916755106262093
6050491720,282425.1,8276.85955189931,0.0293063879658689
6050491730,47420.7,8808.91592189354,0.185760984588872
6050510750,77450.9,25900.5777638164,0.334412870138584
6050527680,2936.4,2936.4,1
6050532210,354282.6,3918.83705425649,0.0110613308535516
6050546240,30127.8,12132.2270204057,0.402692099005094
6050546360,60333.9,22908.4683435556,0.379694804140883
6050550960,2889.8,2889.8,1
6050551090,11804.2,3591.89508381832,0.304289581997791
6050562010,34406.2,2181.13901209948,0.0633937782172831
6050562020,37079.6,8258.81736884416,0.222732105223469
6050565970,43754,4468.10356728582,0.102118744966993
6050565980,23196.2,3627.52828534769,0.156384592534453
6050594780,18969,1303.70801795464,0.0687283471956685
6050594790,15699.3,6106.6591929263,0.388976527165307
6050595200,52028,9811.13871653951,0.188574204592518
6050595210,30808.9,966.918168891093,0.0313843781793927
6050622990,12177.4,3.41322025719635,0.000280291380524279
6050624870,23383.4,2942.97715098992,0.125857537868313
6050639910,45168.1,5867.26103343476,0.12989833606981
6050652910,27927.6,4283.99212275919,0.153396357823773
6050667090,125982,708.572273477756,0.00562439295675379
6050667100,109239.9,8729.54802948979,0.0799117175088021
6050674150,34071,8142.05281882007,0.23897310964809
6050675090,37235.9,5166.49450570689,0.13875035934963
6050675150,22096.3,454.929363726529,0.0205884860237474
6050680380,34881.1,527.411204946422,0.0151202572437917
6050680410,19715.5,714.066080739269,0.036218512375505
6050681720,14430.4,454.929363726529,0.0315257625378734
6050684130,13683,1771.53035730031,0.129469440714778
6050684180,29394.9,40.0350040363148,0.00136197109145855
6050705490,9913.9,3.93372323982899,0.000396788674470086
6050708750,16487.1,454.929363726529,0.0275930493371502
6050709700,2565.8,454.929363726529,0.177305075893105
6050709810,60319.7,4316.08431903596,0.0715534778693521
6050709930,35672.9,9695.09755332165,0.271777667454052
6050710030,211620.1,4971.38189508887,0.0234920118414502
6050718180,72166.9,23118.0725915915,0.320341771526718
6050719760,26432,4422.62384461866,0.167320817366021
6050719850,25200.1,11097.291494832,0.440366962624435
6050721300,25219.2,4314.53296617912,0.171081278001646
6050728570,22470.9,2942.97715098992,0.130968370247294
6050728580,14642.8,2362.7540510764,0.161359442939629
6050738860,33608.6,1108.97587594147,0.0329967887963637
6050752460,10822.3,10822.3,1
6050752470,24160,10078.9221821648,0.417173931380993
6050755240,24892.7,4187.76415210725,0.168232620491439
6050757070,9033.7,4501.7790615083,0.498331698142323
6050757160,886.4,886.4,1
6050757580,9645.5,4147.86366596263,0.430030964279989
6050757590,3664.6,27.0902005103975,0.00739240313005444
6050759370,37869.9,10401.8426429466,0.274673095068816
6050759380,2650,2650,1
6050760520,19215.4,7803.62400289477,0.406113013671054
6050760600,8511.4,5573.3211578755,0.65480663085691
6050762760,2084.6,2084.6,1
6050762870,36699,12096.9826280815,0.329627036924209
6050774150,23471.2,17698.3194858409,0.754044083210101
6050774200,26049,10051.8319816544,0.385881683813367
6050790150,114707.3,3296.30798972149,0.0287366888569558
6050790160,264041.2,3326.12115484746,0.0125969778763597
6050793610,28898.8,2713.85055913299,0.0939087629636174
6050793620,67535.5,9803.73571103443,0.145164183444772
6050808660,107168,7158.53663763282,0.0667973335103092
6050808670,121712.6,440.765678253915,0.00362136441300173
6050814830,50030.4,11781.2484736006,0.235481796539717
6050816160,21657,126.390970219507,0.0058360331633886
6050816630,21120.8,773.833260160393,0.0366384445740878
6050819650,56623.1,16272.4810457184,0.28738237655159
6050837900,17440.7,773.833260160393,0.0443693922927631
6050837910,36858.2,12231.4897462907,0.3318526066463
6050842120,110464,260.188820207072,0.00235541733240759
6050842130,47203.5,3167.90168145908,0.0671115845532446
6050846530,70446.3,1144.35908557628,0.0162444171741636
6050849780,11412.4,15.0630371380903,0.00131988338457207
6050849790,26872.7,11676.9304186921,0.434527621664071
6050852180,12473.7,159.998663576326,0.0128268808434006
6050852410,14641.1,3457.14226071364,0.2361258553465
6050862810,27497.9,7776.03956685542,0.282786669776798
6050862860,37026,8315.39234499654,0.22458251890554
6050869670,26612.6,16.5858753048279,0.000623233930725594
6050869680,15259.7,11.1235403197651,0.00072894882073469
6050870380,25197.8,1003.55960744844,0.0398272709303368
6050877660,55089.2,9444.83145905716,0.171446153856966
6050879890,76390.7,3456.76837507381,0.0452511676823725
6050879900,2650.4,0.149925883271223,5.656726655268e-05
6050887050,9334.7,4303.1773672922,0.460987216224646
6050887140,13024.5,6186.98763804446,0.475026883031553
6050887830,431.7,431.7,1
6050887840,21794.3,997.754848840678,0.0457805411892411
6050913900,31857.6,358.777456897663,0.011261911032145
6050913910,78538.3,569.478575700316,0.0072509664163894
6050933800,58969.4,1449.98116783817,0.0245887047831278
6050933820,41850.9,1784.33819677385,0.0426355991573382
6050934620,11998.4,2494.81932317177,0.207929334175538
6050934630,38327.7,1274.51203172081,0.0332530267070764
6050942450,16192,1953.55245384153,0.120649237514916
6050942470,10010,4483.7296953277,0.447925044488282
6050954860,41050.1,11.4680774403905,0.000279367832000177
6050068110,0,0,0
6050084040,0,0,0
6050084460,0,0,0
6050079970,0,0,0
6050134890,0,0,0
6050134790,0,0,0
6050137270,0,0,0
6050126850,0,0,0
6050143380,0,0,0
6050004870,0,0,0
6050099060,0,0,0
6050113660,0,0,0
6050004880,0,0,0
6050239720,0,0,0
6050262110,0,0,0
6050262490,0,0,0
6050272470,0,0,0
6050384210,0,0,0
6050285930,0,0,0
6050405320,0,0,0
6050457830,0,0,0
6050457840,0,0,0
6050506430,0,0,0
6050506420,0,0,0
6050532340,0,0,0
6050532350,0,0,0
6050483020,0,0,0
6050532200,0,0,0
6050411440,0,0,0
6050408150,0,0,0
6050408040,0,0,0
6050458930,0,0,0
6050476790,0,0,0
6050527670,0,0,0
6050622980,0,0,0
6050624770,0,0,0
6050372330,0,0,0
6050401890,0,0,0
6050450420,0,0,0
6050639920,0,0,0
6050649360,0,0,0
6050649500,0,0,0
6050653020,0,0,0
6050670380,0,0,0
6050670510,0,0,0
6050852400,0,0,0
6050852210,0,0,0
6050818720,0,0,0
6050818840,0,0,0
6050016770,0,0,0
6050016970,0,0,0
6050893010,0,0,0
6050892920,0,0,0
6050870370,0,0,0
6050846520,0,0,0
6050816640,0,0,0
6050816240,0,0,0
6050814820,0,0,0
6050830430,0,0,0
6050830420,0,0,0
6050819640,0,0,0
6050710170,0,0,0
6050738870,0,0,0
6050755160,0,0,0
6050721310,0,0,0
6050718170,0,0,0
6050709820,0,0,0
6050705380,0,0,0
6050681620,0,0,0
6050708820,0,0,0
6050674210,0,0,0
6050019090,0,0,0
6050937230,0,0,0
6050937260,0,0,0
6050942390,0,0,0
6050942410,0,0,0
6050020000,0,0,0
6050954870,0,0,0
6050960240,0,0,0
6050960220,0,0,0
6050960610,0,0,0
6050960580,0,0,0
6050958450,0,0,0
6050958420,0,0,0
6050021020,0,0,0
6050021160,0,0,0
6050021170,0,0,0
6050021190,0,0,0
6050025410,0,0,0
6050026750,0,0,0
6050026990,0,0,0
6050027000,0,0,0
6050027220,0,0,0
6050027230,0,0,0
6050027290,0,0,0
6050027300,0,0,0
6050027770,0,0,0
6050027780,0,0,0
6050028110,0,0,0
6050028120,0,0,0
6050029590,0,0,0
6050040490,0,0,0
6050040510,0,0,0
6050040590,0,0,0
6050040600,0,0,0
6050040760,0,0,0
6050040780,0,0,0
6050040790,0,0,0
6050040810,0,0,0
6050040890,0,0,0
6050040910,0,0,0
6050041170,0,0,0
6050042900,0,0,0
